Experiment,Total Parameters,Trainable Parameters,Model Size (MB),Inference Time per Image (ms),Training Time (seconds),Training Time (minutes)
resnet_feature_extraction,23589992,81960,90.19171905517578,3.3748205750271154,271.45,4.524166666666667
resnet_feature_extraction_augmentation,23589992,81960,90.19171905517578,2.519516275060596,288.71,4.811833333333333
resnet_fine_tuning,23589992,23589992,90.19171905517578,2.534036850101984,672.73,11.212166666666667
resnet_fine_tuning_augmentation,23589992,23589992,90.19171905517578,2.5387585937096446,706.75,11.779166666666667
mobilenet_feature_extraction,4253272,51240,16.318374633789062,1.0778808656141337,118.34,1.9723333333333335
mobilenet_feature_extraction_augmentation,4253272,51240,16.318374633789062,0.8065250000981905,137.92,2.2986666666666666
mobilenet_fine_tuning,4253272,4253272,16.318374633789062,0.8084402313215833,272.0,4.533333333333333
mobilenet_fine_tuning_augmentation,4253272,4253272,16.318374633789062,0.8071108032709162,294.46,4.907666666666667
