Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.8571810257434844,39.84375,2.0553395843505857,61.375
2,1.7301285874843597,65.875,1.5494657897949218,64.75
3,1.3125627422332764,72.3125,1.3841520357131958,66.625
4,1.1020180648565292,76.3125,1.3111815190315246,67.125
5,0.9452260828018189,78.75,1.2610954666137695,67.5
6,0.8467492991685868,81.28125,1.235851721763611,68.0
7,0.7492830523848534,83.625,1.2188134098052978,67.0
8,0.6861679577827453,84.65625,1.2016028261184692,67.25
9,0.6321806186437606,86.25,1.1946181869506836,67.125
10,0.576851989030838,88.0,1.1894726085662841,67.0
11,0.529899914264679,89.625,1.1848392415046691,67.5
12,0.4912546381354332,90.46875,1.185928659439087,66.875
13,0.458022179454565,91.1875,1.1879786252975464,66.625
14,0.4170031106472015,92.3125,1.191001420021057,66.625
15,0.39293130457401276,93.3125,1.1975705337524414,66.0
16,0.37094051748514173,93.5625,1.2042495942115783,66.125
17,0.34843573823571206,94.25,1.2074580478668213,66.0
18,0.3291234731674194,94.875,1.2115505504608155,66.0
19,0.3291491547226906,94.34375,1.2131814575195312,66.125
20,0.2907114626467228,95.3125,1.211523642539978,66.25
