Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.507488888502121,32.875,2.2109538602828978,40.75
2,1.6726845836639403,51.5625,2.4563856077194215,41.25
3,1.2702613562345504,62.53125000000001,1.731336522102356,51.625
4,1.0425287103652954,68.5625,1.9605317258834838,50.24999999999999
5,0.83322873711586,74.5,3.420337800979614,41.625
6,0.702709073126316,78.5625,2.0327545499801634,53.125
7,0.5566760811209679,82.75,2.16841197013855,49.375
8,0.4733587285876274,86.0625,1.5793316745758057,62.125
9,0.38464387230575087,87.84375,1.6073804759979249,62.5
10,0.36460068702697757,88.9375,1.8340120267868043,59.75
11,0.29132128193974494,90.71875,1.641798882484436,61.75000000000001
12,0.21031702004373073,93.625,2.003258032798767,58.375
13,0.2700574791431427,92.09375,2.1430326890945435,56.125
14,0.21651462834328414,93.75,1.692612099647522,61.375
15,0.2205453710630536,93.21875,2.1423127031326294,56.75
16,0.1789308838546276,94.5625,1.8173432493209838,61.5
17,0.18718980561941861,94.53125,1.7073400211334229,61.25000000000001
18,0.15773771526291966,94.96875,1.7011756467819215,62.25000000000001
19,0.10201734652742743,96.96875,1.6170178246498108,65.5
20,0.0905070688482374,97.15625,1.8266968393325806,61.375
