Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.3308150374889376,37.71875,2.3253115034103393,38.25
2,1.4219579309225083,58.90625000000001,3.0997310733795165,41.125
3,0.777777387201786,76.28125,2.584723267555237,40.375
4,0.5404882846772671,83.53125,1.9527440118789672,52.25
5,0.4132681551575661,87.59375,1.6998937582969667,58.12500000000001
6,0.22757718188688159,93.21875,1.8264601516723633,57.375
7,0.20253767915070056,94.1875,2.0091783809661865,56.125
8,0.12434292344376445,96.125,2.0833988857269286,55.00000000000001
9,0.14969482111744584,95.15625,2.0759498071670532,54.75
10,0.17055400950834154,95.03125,2.5477051544189453,50.74999999999999
11,0.19763803312554956,93.96875,2.50733371257782,47.625
12,0.1633809208869934,95.15625,2.3425241565704344,51.87500000000001
13,0.13653975250199438,96.0,2.1583219242095946,55.375
14,0.12076287302188575,96.40625,1.805558602809906,58.75
15,0.05040215131128207,98.5625,1.9869886970520019,57.99999999999999
16,0.05478872862528078,98.5,2.1603824043273927,58.5
17,0.07763426445890217,97.59375,2.469554033279419,50.5
18,0.09351947319693864,97.0,2.2469813442230224,51.625
19,0.0895058168657124,97.25,2.4834483432769776,51.0
20,0.08240647207479924,98.0625,2.173165731430054,57.875
