Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.114590162038803,42.875,2.556018466949463,43.125
2,1.120221610069275,67.40625,1.5974147081375123,56.25
3,0.8072168251872063,75.875,2.9511872339248657,49.625
4,0.5647646062076092,83.03125,1.7460970544815064,58.62500000000001
5,0.40873489797115325,87.03125,1.9151003074645996,57.62500000000001
6,0.3847105071693659,87.65625,2.264260182380676,53.25
7,0.32618437595665456,90.3125,2.4839545774459837,53.0
8,0.3104712948948145,90.53125,2.1216044139862063,58.75
9,0.2596721737831831,91.8125,1.9465602874755858,58.62500000000001
10,0.20073974568396807,93.40625,2.20608425617218,57.75
11,0.2521128247864544,92.6875,1.7632543277740478,60.75000000000001
12,0.18888827199116348,94.125,2.1911905860900878,58.375
13,0.12861322778277098,96.0,2.1550768041610717,61.12499999999999
14,0.19642457445152103,94.21875,2.038650493621826,58.375
15,0.16152092220261693,94.875,2.0873079442977907,61.5
16,0.16073176014237106,95.4375,1.9750596714019775,59.62499999999999
17,0.12181502807885408,96.4375,2.1698324489593506,60.25
18,0.1020668456167914,96.90625,2.188699555397034,61.5
19,0.11243203624617308,96.375,2.369276647567749,59.62499999999999
20,0.1606630943948403,95.65625,2.6127569341659544,55.00000000000001
